"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13691","Checkout should fail if first name is empty","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","10210","Checkout should fail if first name is empty","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","7428","@smoke Add product to cart","webkit","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
"","3840","Inventory validation","webkit","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","10195","Checkout Test - Dataset 3","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","10595","Login Test","webkit","2026-03-17","failed","2026-03-17","","auth\login.spec.ts","",""
"","9301","Checkout Test - Dataset 3","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","10271","Checkout Test - Dataset 2","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9791","@smoke Add product to cart","firefox","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
"","4008","Inventory validation","firefox","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","8594","Checkout Test - Dataset 1","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","5306","Inventory validation","chromium","2026-03-17","passed","2026-03-17","","products\inventory.spec.ts","",""
"","9688","Checkout Test - Dataset 1","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","8627","Checkout Test - Dataset 2","chromium","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","12281","Login Test","firefox","2026-03-17","failed","2026-03-17","","auth\login.spec.ts","",""
"","14691","Login Test","chromium","2026-03-17","failed","2026-03-17","","auth\login.spec.ts","",""
"","9721","Checkout Test - Dataset 1","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9696","Checkout should fail if first name is empty","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout-negative.spec.ts","",""
"","9763","Checkout Test - Dataset 2","firefox","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","9638","Checkout Test - Dataset 3","webkit","2026-03-17","passed","2026-03-17","","checkout\checkout.spec.ts","",""
"","11254","@smoke Add product to cart","chromium","2026-03-17","passed","2026-03-17","","cart\cart.spec.ts","",""
